大陆频道,#genre# 
江苏卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
东方卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
山东卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
北京卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
辽宁卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
黑龙江卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
广东卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
安徽卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
深圳卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
天津卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000295103.m3u8
重庆卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8
东南卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
广西卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
河北卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
河南卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
湖北卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
江西卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
吉林卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000284703.m3u8
陕西卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294403.m3u8
甘肃卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294603.m3u8
四川卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
贵州卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8
海南卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8
青海卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000294703.m3u8
移动高清,#genre# 
CCTV-1综合,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-2财经,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/1.m3u8
CCTV-4中文国际,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8
CCTV-5+体育赛事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/1.m3u8
